# IEC Vap Identifier - Pass
# Auto-generated by classify_fixtures.rb

IEC 60335-2-2:1993+AMD1:1998 CSV
IEC 60335-2-2:2002+AMD1:2004+AMD2:2006 CSV
IEC 60335-2-2:2009+AMD1:2012+AMD2:2016 CSV
IEC 60335-2-2:2019 RLV
IEC 60335-2-21:2002+AMD1:2004+AMD2:2008 CSV
IEC 60335-2-21:2012+AMD1:2018 CSV
IEC 60335-2-23:2003+AMD1:2008+AMD2:2012 CSV
IEC 60335-2-23:2016+AMD1:2019 CSV
IEC 60335-2-24:1997+AMD1:1998 CSV
IEC 60335-2-24:2002+AMD1:2005+AMD2:2007 CSV
IEC 60335-2-24:2010+AMD1:2012+AMD2:2017 CSV
IEC 60335-2-24:2020 CMV
IEC 60335-2-25:1996+AMD1:1999 CSV
IEC 60335-2-25:2002+AMD1:2005+AMD2:2006 CSV
IEC 60335-2-25:2010+AMD1:2014+AMD2:2015 CSV
IEC 60335-2-25:2020 RLV
IEC 60335-2-26:2002+AMD1:2008 CSV
IEC 60335-2-27:2002+AMD1:2004+AMD2:2007 CSV
IEC 60335-2-27:2009+AMD1:2012+AMD2:2015 CSV
IEC 60335-2-27:2019 RLV
IEC 60335-2-28:2002+AMD1:2008 CSV
IEC 60335-2-28:2021 RLV
IEC 60335-2-29:2002+AMD1:2004+AMD2:2009 CSV
IEC 60335-2-29:2016+AMD1:2019 CSV
IEC 60335-2-3:1993+AMD1:1999 CSV
IEC 60335-2-3:2002+AMD1:2004+AMD2:2008 CSV
IEC 60335-2-3:2012+AMD1:2015 CSV
IEC 60335-2-30:2002+AMD1:2004+AMD2:2007 CSV
IEC 60335-2-30:2009+AMD1:2016+AMD2:2021 CSV
IEC 60335-2-31:1995+AMD1:1998 CSV
IEC 60335-2-31:2002+AMD1:2006+AMD2:2008 CSV
IEC 60335-2-31:2012+AMD1:2016+AMD2:2018 CSV
IEC 60335-2-32:2002+AMD1:2008+AMD2:2013 CSV
IEC 60335-2-32:2019 RLV
IEC 60335-2-34:2002+AMD1:2004+AMD2:2008 CSV
IEC 60335-2-34:2012+AMD1:2015+AMD2:2016 CSV
IEC 60335-2-34:2021 RLV
IEC 60335-2-35:2002+AMD1:2006+AMD2:2009 CSV
IEC 60335-2-35:2012+AMD1:2016+AMD2:2020 CSV
IEC 60335-2-36:2002+AMD1:2004+AMD2:2008 CSV
IEC 60335-2-36:2021 CMV
IEC 60335-2-37:2002+AMD1:2008+AMD2:2011 CSV
IEC 60335-2-37:2021 RLV
IEC 60335-2-38:2002+AMD1:2008+AMD2:2017 CSV
IEC 60335-2-38:2021 RLV
IEC 60335-2-39:2002+AMD1:2004+AMD2:2008 CSV
IEC 60335-2-39:2012+AMD1:2017 CSV
IEC 60335-2-39:2021 RLV
IEC 60335-2-4:1993+AMD1:1997+AMD2:1999 CSV
IEC 60335-2-4:2002+AMD1:2004+AMD2:2006 CSV
IEC 60335-2-4:2008+AMD1:2012+AMD2:2017 CSV
IEC 60335-2-4:2021 RLV
IEC 60335-2-40:2002+AMD1:2005+AMD2:2005 CSV
IEC 60335-2-40:2013+AMD1:2016 CSV
IEC 60335-2-40:2018 RLV
IEC 60335-2-40:2022 CMV
IEC 60335-2-41:2002+AMD1:2004+AMD2:2009 CSV
IEC 60335-2-42:2002+AMD1:2008+AMD2:2017 CSV
IEC 60335-2-42:2021 RLV
IEC 60335-2-43:2002+AMD1:2005+AMD2:2008 CSV
IEC 60335-2-44:2002+AMD1:2008+AMD2:2011 CSV
IEC 60335-2-44:2021 RLV
